Arg1,Predicate,Arg2,title
0,was born,1,"Eisenhower was born David Dwight Eisenhower, and raised in Abilene, Kansas, in a large family of mostly Pennsylvania Dutch ancestry."
0,had,2,"He graduated from West Point in 1915 and later married Mamie Doud, with whom he had two sons."
0,was denied,3,"During World War I, he was denied a request to serve in Europe and instead commanded a unit that trained tank crews."
0,oversaw,4,"After the United States entered World War II, Eisenhower oversaw the invasions of North Africa and Sicily before supervising the invasions of France and Germany."
0,entered,5,"In 1952, Eisenhower entered the presidential race as a Republican to block the isolationist foreign policies of Senator Robert A. Taft; Taft opposed NATO and wanted no foreign entanglements."
0,won,6,"Eisenhower won that election and the 1956 election in landslides, both times defeating Adlai Stevenson II."
0,won,6,"Eisenhower won that election and the 1956 election in landslides, both times defeating Adlai Stevenson II."
0,threatened,7,"In 1953, he threatened to use nuclear weapons until China agreed to peace terms in the Korean War."
0,continued,8,"He continued Harry S. Truman's policy of recognizing Taiwan as the legitimate government of China, and he won congressional approval of the Formosa Resolution."
0,won,9,"He continued Harry S. Truman's policy of recognizing Taiwan as the legitimate government of China, and he won congressional approval of the Formosa Resolution."
0,gave,10,"After the French left, he gave strong financial support to the new state of South Vietnam."
0,supported,11,He supported regime-changing military coups in Iran and Guatemala orchestrated by his own administration.
0,condemned,12,"During the Suez Crisis of 1956, he condemned the Israeli, British, and French invasion of Egypt, and he forced them to withdraw."
0,forced,13,"During the Suez Crisis of 1956, he condemned the Israeli, British, and French invasion of Egypt, and he forced them to withdraw."
0,condemned,14,He also condemned the Soviet invasion during the Hungarian Revolution of 1956 but took no action.
0,deployed,15,"He deployed 15,000 soldiers during the 1958 Lebanon crisis."
0,failed,16,"Near the end of his term, he failed to set up a summit meeting with the Soviets when a U.S. spy plane was shot down over the Soviet Union."
0,approved,17,"He approved the Bay of Pigs invasion, which was left to John F. Kennedy to carry out.
"
0,was,18,"On the domestic front, Eisenhower was a moderate conservative who continued New Deal agencies and expanded Social Security."
0,opposed,19,He covertly opposed Joseph McCarthy and contributed to the end of McCarthyism by openly invoking executive privilege.
0,signed,20,"He signed the Civil Rights Act of 1957 and sent Army troops to enforce federal court orders which integrated schools in Little Rock, Arkansas."
0,promoted,21,He promoted the establishment of strong science education via the National Defense Education Act.
0,expressed,22,"In his farewell address to the nation, he expressed his concerns about the dangers of massive military spending, particularly deficit spending and government contracts to private military manufacturers, which he dubbed ""the military–industrial complex""."
0,dubbed,23,"In his farewell address to the nation, he expressed his concerns about the dangers of massive military spending, particularly deficit spending and government contracts to private military manufacturers, which he dubbed ""the military–industrial complex""."
24,was,25,"John Fitzgerald Kennedy, often referred to by his initials JFK, was an American politician who served as the 35th president of the United States from January 1961 until his assassination in November 1963."
24,represented,26,"A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to becoming president.
"
27,commanded,28,"During World War II, he commanded a series of PT boats in the Pacific theater and earned the Navy and Marine Corps Medal for his service."
27,represented,29,"After a brief stint in journalism, Kennedy represented a working-class Boston district in the U.S. House of Representatives from 1947 to 1953."
27,published,30,"While in the Senate, Kennedy published his book, Profiles in Courage, which won a Pulitzer Prize."
27,defeated,31,"In the 1960 presidential election, he narrowly defeated Republican opponent Richard Nixon, who was the incumbent vice president."
